Filter,N,FPR_Target,Workload,NegShare,LoadFactor,Threads,FPBits,Insert_s,Query_s,FalsePosRate,BPE
bloom,1000000,0.05,read-only,0,1,1,8,0.0278992,0.028835,0,6.22362
bloom,1000000,0.05,read-only,0,1,1,12,0.0292222,0.0289986,0,6.22362
bloom,1000000,0.05,read-only,0,1,1,16,0.0288243,0.0282996,0,6.22362
bloom,1000000,0.05,read-only,0,1,2,8,0.0289122,0.0290139,0,6.22362
bloom,1000000,0.05,read-only,0,1,2,12,0.0279415,0.0286677,0,6.22362
bloom,1000000,0.05,read-only,0,1,2,16,0.0293907,0.0286165,0,6.22362
bloom,1000000,0.05,read-only,0,1,4,8,0.0281611,0.0295742,0,6.22362
bloom,1000000,0.05,read-only,0,1,4,12,0.0297871,0.0356747,0,6.22362
bloom,1000000,0.05,read-only,0,1,4,16,0.029827,0.028901,0,6.22362
bloom,1000000,0.05,read-only,0,1,8,8,0.0356184,0.0302836,0,6.22362
bloom,1000000,0.05,read-only,0,1,8,12,0.0286119,0.0290133,0,6.22362
bloom,1000000,0.05,read-only,0,1,8,16,0.0293455,0.0290546,0,6.22362
bloom,1000000,0.05,read-only,0.5,1,1,8,0.0296293,0.0308191,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,1,12,0.0285685,0.0322945,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,1,16,0.0329748,0.0367708,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,2,8,0.0308532,0.0342308,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,2,12,0.0305074,0.0335802,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,2,16,0.0313328,0.033184,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,4,8,0.0303433,0.0339316,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,4,12,0.0286505,0.031756,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,4,16,0.029028,0.031711,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,8,8,0.0281463,0.030948,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,8,12,0.0286891,0.0316816,0.025178,6.22362
bloom,1000000,0.05,read-only,0.5,1,8,16,0.0312615,0.0334868,0.025178,6.22362
bloom,1000000,0.05,read-only,0.9,1,1,8,0.0346225,0.0325964,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,1,12,0.0287503,0.0312579,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,1,16,0.0289016,0.0313399,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,2,8,0.0287929,0.0308579,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,2,12,0.0283736,0.0317412,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,2,16,0.0289169,0.0340439,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,4,8,0.0295221,0.0306856,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,4,12,0.0303073,0.0326976,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,4,16,0.0282007,0.031275,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,8,8,0.030354,0.0330286,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,8,12,0.0319345,0.0327927,0.045251,6.22362
bloom,1000000,0.05,read-only,0.9,1,8,16,0.0284542,0.0316316,0.045251,6.22362
cuckoo,1000000,0.05,read-only,0,1,1,8,0.0316795,0.0312888,0,16
cuckoo,1000000,0.05,read-only,0,1,1,12,0.0312071,0.0337913,0,16
cuckoo,1000000,0.05,read-only,0,1,1,16,0.0369802,0.0328708,0,16
cuckoo,1000000,0.05,read-only,0,1,2,8,0.0361458,0.0318501,0,16
cuckoo,1000000,0.05,read-only,0,1,2,12,0.0343422,0.041499,0,16
cuckoo,1000000,0.05,read-only,0,1,2,16,0.0436373,0.0357067,0,16
cuckoo,1000000,0.05,read-only,0,1,4,8,0.0335689,0.0320622,0,16
cuckoo,1000000,0.05,read-only,0,1,4,12,0.0322314,0.0307368,0,16
cuckoo,1000000,0.05,read-only,0,1,4,16,0.0317647,0.0311353,0,16
cuckoo,1000000,0.05,read-only,0,1,8,8,0.0310347,0.0326891,0,16
cuckoo,1000000,0.05,read-only,0,1,8,12,0.0315144,0.0316311,0,16
cuckoo,1000000,0.05,read-only,0,1,8,16,0.0321407,0.0309785,0,16
cuckoo,1000000,0.05,read-only,0.5,1,1,8,0.032414,0.0286214,0.009683,16
cuckoo,1000000,0.05,read-only,0.5,1,1,12,0.0311781,0.0284129,0.00968,16
cuckoo,1000000,0.05,read-only,0.5,1,1,16,0.0314179,0.0281279,0.009682,16
cuckoo,1000000,0.05,read-only,0.5,1,2,8,0.0357129,0.0315364,0.009677,16
cuckoo,1000000,0.05,read-only,0.5,1,2,12,0.0314264,0.0284981,0.009676,16
cuckoo,1000000,0.05,read-only,0.5,1,2,16,0.0308861,0.0289476,0.009676,16
cuckoo,1000000,0.05,read-only,0.5,1,4,8,0.030905,0.0280387,0.009682,16
cuckoo,1000000,0.05,read-only,0.5,1,4,12,0.0351205,0.0289445,0.009681,16
cuckoo,1000000,0.05,read-only,0.5,1,4,16,0.031083,0.028701,0.009678,16
cuckoo,1000000,0.05,read-only,0.5,1,8,8,0.0310743,0.0284,0.009681,16
cuckoo,1000000,0.05,read-only,0.5,1,8,12,0.0319208,0.0282723,0.009678,16
cuckoo,1000000,0.05,read-only,0.5,1,8,16,0.0310069,0.0287234,0.009681,16
cuckoo,1000000,0.05,read-only,0.9,1,1,8,0.0309024,0.025522,0.017365,16
