time,kernel,dtype,impl,N,stride,misalign,time_ms,gflops,cpe
9/29/2025 23:01,saxpy,f32,scalar,20000,1,0,0.0094,4.255319,1.222
9/29/2025 23:01,saxpy,f32,simd,20000,1,0,0.0015,26.666667,0.195
9/29/2025 23:01,saxpy,f64,scalar,20000,1,0,0.0098,4.081633,1.274
9/29/2025 23:01,saxpy,f64,simd,20000,1,0,0.0049,8.163265,0.637
9/29/2025 23:01,saxpy,f32,scalar,80000,1,0,0.039,4.102564,1.2675
9/29/2025 23:01,saxpy,f32,simd,80000,1,0,0.0112,14.285714,0.364
9/29/2025 23:01,saxpy,f64,scalar,80000,1,0,0.0398,4.020101,1.2935
9/29/2025 23:01,saxpy,f64,simd,80000,1,0,0.0219,7.305936,0.71175
9/29/2025 23:01,saxpy,f32,scalar,300000,1,0,0.1423,4.216444,1.233267
9/29/2025 23:01,saxpy,f32,simd,300000,1,0,0.0451,13.303769,0.390867
9/29/2025 23:01,saxpy,f64,scalar,300000,1,0,0.1493,4.018754,1.293933
9/29/2025 23:01,saxpy,f64,simd,300000,1,0,0.086,6.976744,0.745333
9/29/2025 23:01,saxpy,f32,scalar,1200000,1,0,0.66,3.636364,1.43
9/29/2025 23:01,saxpy,f32,simd,1200000,1,0,0.2237,10.728654,0.484683
9/29/2025 23:01,saxpy,f64,scalar,1200000,1,0,1.166,2.058319,2.526333
9/29/2025 23:01,saxpy,f64,simd,1200000,1,0,0.8263,2.904514,1.790317
9/29/2025 23:01,saxpy,f32,scalar,5000000,1,0,3.2014,3.123633,1.664728
9/29/2025 23:01,saxpy,f32,simd,5000000,1,0,2.104101,4.752624,1.094133
9/29/2025 23:01,saxpy,f64,scalar,5000000,1,0,6.060301,1.650083,3.151357
9/29/2025 23:01,saxpy,f64,simd,5000000,1,0,4.695301,2.129789,2.441557
9/29/2025 23:01,saxpy,f32,scalar,20000000,1,0,13.894801,2.878775,1.806324
9/29/2025 23:01,saxpy,f32,simd,20000000,1,0,9.889301,4.044775,1.285609
9/29/2025 23:01,saxpy,f64,scalar,20000000,1,0,21.702001,1.843148,2.82126
9/29/2025 23:01,saxpy,f64,simd,20000000,1,0,19.1094,2.093211,2.484222
9/29/2025 23:02,saxpy,f32,scalar,70000000,1,0,46.378801,3.018621,1.722641
9/29/2025 23:02,saxpy,f32,simd,70000000,1,0,36.061501,3.882257,1.339427
9/29/2025 23:02,saxpy,f64,scalar,70000000,1,0,78.972401,1.772771,2.933261
9/29/2025 23:02,saxpy,f64,simd,70000000,1,0,66.4679,2.10628,2.468808
